rank,scheme_id,topsis_score,stability,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover
493,S0730,0.5105459947934782,0.0,0,0.0,0.0,4.0,600.0802548612435,92.15975747869625,0.14316702055245584,853.2120231383096,0.5809590613599469,0.44811469326276787,0.3197438772374831,189.5713186036898,3.625
494,S0239,0.5103835751005837,0.0,0,0.0,0.0,4.0,703.2245968637355,95.05357916150344,0.15187429098765026,856.4355114107486,0.6155090603778034,0.4312071239778701,0.333053443533913,187.36819292028008,3.625
495,S1270,0.5102719641304025,0.0,0,0.0,0.0,4.0,775.920821904348,91.76681684534998,0.15403174424002772,890.3838451903985,0.6878117206729573,0.5190898835999809,0.36993766548963275,181.20731753310284,3.5
496,S0642,0.5102063148336635,0.0,0,0.0,0.0,4.0,881.0272438604015,117.85039087958596,0.15668192637194037,872.6506266448048,0.6766314503622141,0.48487395349125506,0.34986524886260906,169.05868563904514,3.3125
497,S0038,0.5101887132946601,0.0,0,0.0,0.0,4.0,915.5537662964358,95.83223554393234,0.17186428685436012,875.2752705254203,0.6597133496985499,0.5093079823619078,0.3489179123670515,184.91366765010852,3.625
498,S0577,0.5101373714634219,0.0,0,0.0,0.0,4.0,697.8880240810895,99.50973146650244,0.15854658762522197,876.7120606298921,0.6425786398865192,0.49475384619933754,0.37008086327406675,186.15987252424026,3.625
499,S1825,0.5101244342792822,0.0,0,0.0,0.0,4.0,701.1741017664925,99.33448396451926,0.1480238921544654,861.3470923892008,0.6571583294487784,0.46622423707462707,0.33312001655207657,179.78018583193492,3.5
500,S0630,0.5101061936607356,0.0,0,0.0,0.0,4.0,755.8273219287674,94.22074610457612,0.16400701624803332,876.1050696175682,0.6922542338274382,0.493799318239756,0.36805310038045574,184.47990430323057,3.625
501,S0936,0.5100773190783204,0.0,0,0.0,0.0,4.0,721.4000853763912,105.5476025742103,0.14784723349033627,853.7001089814553,0.5840320829588261,0.45658511276556124,0.3043918886605724,182.60058645122803,3.4375
502,S1916,0.5099929849900494,0.0,0,0.0,0.0,4.0,668.0169620270945,87.64297719747404,0.15004881900562445,856.9878857494707,0.6468630555496353,0.47549283413956994,0.3149440473012707,182.72121842420762,3.3125
503,S1425,0.5099716529124747,0.0,0,0.0,0.0,4.0,949.646602166745,124.28495403774296,0.1821607746645219,891.2580265557248,0.6716385368038832,0.5193349481441559,0.3642788672577768,179.54128622527617,3.4375
504,S1230,0.5099039026890105,0.03,0,0.0,0.0,4.0,1031.4116967387886,124.00055403892993,0.2037641627353633,879.3678701238421,0.6381706236829706,0.48816392112507173,0.3594783504673084,188.3820366481207,3.5625
505,S0285,0.5098557095880049,0.0,0,0.0,0.0,4.0,1009.2397174751384,109.83227720538473,0.18263364546195127,861.1829317128147,0.676017025451411,0.4670808098376213,0.34229602748602495,179.65921877198116,3.5625
506,S1664,0.509781027950534,0.0,0,0.0,0.0,4.0,707.9347990305727,107.78861019168664,0.1636702754561089,867.4870695085511,0.6654960548754166,0.4709224343512398,0.3396666166449991,184.1175950646116,3.5
507,S1735,0.5097440490011957,0.0,0,0.0,0.0,4.0,717.5627309918085,87.55249266339301,0.16989013548157508,866.6434267288764,0.7283982441528176,0.48355498642658956,0.3483250794910719,186.25994879227736,3.5625
508,S1981,0.5095973160517321,0.0,0,0.0,0.0,4.0,624.6983833983381,90.56555183866978,0.15377938485352527,865.9411083218929,0.6333433303661716,0.45657032557129607,0.37648341796896756,187.2764388039351,3.5625
509,S0888,0.5094579424795852,0.0,0,0.0,0.0,4.0,582.5208946916395,89.24234640063041,0.15837780475965466,866.8218003078439,0.7262165326160887,0.4787086417479314,0.3235628469168685,185.68209133462278,3.375
510,S1141,0.5093776905714184,0.0,0,0.0,0.0,4.0,711.8239628854503,92.00139638702171,0.14958315882837028,888.0179782752286,0.7059790048012787,0.5009316002094221,0.3732493636203802,182.12054925670483,3.625
511,S1566,0.5093519667406395,0.0,0,0.0,0.0,4.0,644.7546241309121,92.19917884125894,0.1530898637275112,843.3751135241683,0.6235236649419114,0.4338684703695113,0.3077495366316678,186.19597859145117,3.4375
